name,price,speed,modules,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,38.99,"43,200","2,8",Black / Yellow,10,16
Corsair Vengeance 32 GB,113.99,"55,600","2,16",Black,12.857,36
G.Skill Trident Z5 RGB 32 GB,117.99,"56,000","2,16",Black,12,36
Corsair Vengeance 32 GB,114.99,"56,000","2,16",Black / Gray,10,30
Corsair Vengeance RGB Pro 32 GB,94.99,"43,600","2,16",Black,10,18
G.Skill Trident Z5 RGB 64 GB,217.99,"56,400","2,32",Black / Silver,10,32
Corsair Vengeance LPX 32 GB,69.98,"43,600","2,16",Black / Yellow,10,18
Corsair Vengeance RGB 32 GB,127.99,"56,000","2,16",White,12,36
TEAMGROUP T-Force Delta RGB 32 GB,106.99,"56,000","2,16",White,10,30
TEAMGROUP T-Force Delta RGB 32 GB,106.99,"56,000","2,16",Black,10,30
Corsair Vengeance RGB Pro 16 GB,55.99,"43,200","2,8",Black,10,16
Corsair Vengeance 16 GB,74.98,"55,200","2,8",Black,15.385,40
G.Skill Flare X5 32 GB,102.99,"56,000","2,16",Black,12,36
G.Skill Trident Z5 Neo RGB 32 GB,112.99,"56,000","2,16",Black,10,30
Silicon Power GAMING 16 GB,32.97,"43,200","2,8",Black / Gray,10,16
Corsair Vengeance 64 GB,159.99,"55,200","2,32",Black,15.385,40
G.Skill Ripjaws V 16 GB,3914.75,"44,800","2,8",Black,7.083,17
G.Skill Flare X5 32 GB,104.99,"56,000","2,16",Black,10,30
TEAMGROUP T-Create Expert 32 GB,97.99,"56,000","2,16",Black,10,30
G.Skill Ripjaws V 16 GB,37,"43,200","2,8",Black,10,16
TEAMGROUP T-Force Vulcan Z 16 GB,32.99,"43,200","2,8",Black,10,16
Corsair Vengeance RGB 32 GB,134.99,"56,000","2,16",Black,13.333,40
Corsair Vengeance RGB 32 GB,109.99,"56,000","2,16",Black,12,36
Corsair Vengeance LPX 16 GB,49.99,"43,600","2,8",Black,10,18
G.Skill Ripjaws V 32 GB,66.98,"43,200","2,16",Black,10,16
Corsair Dominator Titanium 64 GB,309.99,"56,600","2,32",White,9.697,32
G.Skill Flare X5 32 GB,96.99,"56,000","2,16",Black,10.667,32
Corsair Vengeance LPX 32 GB,66.98,"43,200","2,16",Black / Yellow,10,16
Corsair Vengeance 32 GB,94.99,"55,200","2,16",Black,15.385,40
G.Skill Ripjaws S5 32 GB,109.99,"56,000","2,16",Black,10,30
Corsair Vengeance RGB 64 GB,224.99,"56,000","2,32",Black,10,30
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,"43,600","2,16",Black,10,18
Corsair Vengeance RGB Pro SL 32 GB,82.99,"43,600","2,16",White / Black,10,18
Kingston FURY Beast RGB 16 GB,,"56,000","2,8",Black,12,36
TEAMGROUP T-Force Vulcan Z 32 GB,52.75,"43,200","2,16",Gray,10,16
Silicon Power Value Gaming 32 GB,94.97,"56,000","2,16",Black,10,30
Silicon Power GAMING 32 GB,51.49,"43,200","2,16",Black,10,16
G.Skill Trident Z5 Neo 64 GB,209.99,"56,000","2,32",Black / Silver,10,30
Corsair Vengeance RGB 32 GB,124.99,"56,000","2,16",Gray,10,30
Kingston FURY Beast 16 GB,49.19,"43,200","2,8",Black,10,16
G.Skill Trident Z5 RGB 32 GB,132.99,"57,200","2,16",Black,9.444,34
Corsair Vengeance LPX 64 GB,129.99,"43,200","2,32",Black / Yellow,10,16
TEAMGROUP T-Force Delta RGB 32 GB,69.98,"43,600","2,16",White,10,18
Kingston FURY Beast 32 GB,119.99,"56,000","2,16",Black,12,36
Corsair Vengeance RGB Pro 16 GB,62.99,"43,200","2,8",White,10,16
G.Skill Trident Z5 RGB 32 GB,109.99,"56,400","2,16",Black,10,32
Corsair Dominator Titanium 64 GB,309.99,"56,600","2,32",Black,9.697,32
Corsair Vengeance RGB 128 GB,459.99,"55,600","4,32",Black,14.286,40
G.Skill Trident Z RGB 32 GB,84.99,"43,200","2,16",Black,10,16
G.Skill Trident Z5 RGB 32 GB,109.99,"56,400","2,16",White / Black,10,32
Corsair Vengeance 64 GB,219.99,"56,400","2,32",Black / Gray,10,32
Corsair Vengeance 32 GB,104.99,"56,000","2,16",Black,12,36
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"43,600","2,8",Black,10,18
TEAMGROUP T-Force Vulcan 32 GB,102.99,"56,000","2,16",Black,10,30
G.Skill Ripjaws V 16 GB,43.99,"43,600","2,8",Black,8.889,16
G.Skill Trident Z5 RGB 48 GB,399.99,"58,400","2,24",Black,9.524,40
Corsair Vengeance RGB 32 GB,109.99,"55,200","2,16",White,15.385,40
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"43,600","2,8",White,10,18
G.Skill Flare X5 64 GB,199.99,"56,000","2,32",Black,10,30
Corsair Vengeance RGB 64 GB,229.99,"56,000","2,32",White / Silver,10,30
Silicon Power SP016GBLFU320B22 16 GB,29.97,"43,200","2,8",,13.75,22
Kingston FURY Beast 16 GB,71.98,"56,000","2,8",Black,13.333,40
Silicon Power SP032GBLVU560FD2AD 32 GB,75.97,"55,600","2,16",Black,16.429,46
TEAMGROUP T-Create Classic 32 GB,83.99,"55,600","2,16",Black,16.429,46
G.Skill Ripjaws V 32 GB,79.98,"43,600","2,16",Black,8.889,16
Kingston FURY Beast RGB 32 GB,127.99,"56,000","2,16",Black,12,36
G.Skill Trident Z 32 GB,754.94,"56,000","2,16",White / Black,13.333,40
TEAMGROUP T-Create Expert 32 GB,97.99,"56,000","2,16",White,10,30
Corsair Vengeance 32 GB,114.99,"56,000","2,16",Black,12,36
Crucial Pro 32 GB,59.99,"43,200","2,16",Black,13.75,22
G.Skill Trident Z RGB 16 GB,55.98,"43,600","2,8",Black,10,18
Kingston FURY Beast 32 GB,74.98,"43,200","2,16",Black,10,16
TEAMGROUP T-Force Delta RGB 32 GB,69.98,"43,600","2,16",Black,10,18
Corsair Dominator Platinum RGB 32 GB,174.99,"56,200","2,16",White,11.613,36
Crucial CT2K8G48C40U5 16 GB,54.99,"54,800","2,8",Black,16.667,40
TEAMGROUP T-Create Expert 32 GB,94.99,"56,400","2,16",Black,10,32
G.Skill Ripjaws S5 32 GB,98.99,"56,000","2,16",Black,12,36
Crucial Pro Overclocking 32 GB,104.99,"56,000","2,16",Black,12,36
G.Skill Trident Z5 Neo RGB 64 GB,214.99,"56,000","2,32",Black / Silver,10,30
Crucial Pro 64 GB,159.19,"55,600","2,32",Black,16.429,46
Corsair Vengeance RGB 192 GB,659.99,"55,200","4,48",Black,14.615,38
Corsair Vengeance 32 GB,117.99,"56,400","2,16",Black,10,32
TEAMGROUP T-Force Vulcan 32 GB,91.99,"56,000","2,16",Black,12.667,38
ADATA XPG Lancer Blade 32 GB,112.99,"56,000","2,16",Black,10,30
Lexar THOR OC 32 GB,104.99,"56,000","2,16",Black / Gold,10.667,32
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"56,000","2,16",White,10,30
Patriot Viper Venom 16 GB,61.99,"55,200","2,8",Black / White,13.846,36
Corsair Vengeance 64 GB,217.99,"56,000","2,32",Black / Gray,10,30
TEAMGROUP Vulcan Z 16 GB,37.99,"43,600","2,8",Black,10,18
Corsair Vengeance RGB Pro 256 GB,1658.29,"43,000","8,32",Black,10.667,16
Corsair Vengeance RGB 32 GB,124.99,"56,400","2,16",Black / Gray,10,32
Corsair Vengeance 128 GB,429.99,"55,600","4,32",Black,14.286,40
Corsair Vengeance RGB Pro 32 GB,89.99,"43,200","2,16",Black,10,16
Corsair Vengeance LPX 32 GB,,"43,866","4,8",,9.312,18
Corsair Dominator Titanium 32 GB,167.99,"56,000","2,16",White,10,30
G.Skill Trident Z5 RGB 96 GB,399.99,"56,800","2,48",Black,10,34
Crucial CT25664AA667 2 GB,11,"2,667","1,2",Green,14.993,5
Silicon Power XPOWER Turbine 16 GB,32.97,"43,200","2,8",Blue,10,16
Corsair Vengeance LPX 8 GB,24.99,"42,400","1,8",Black / Yellow,13.333,16
Crucial Pro 32 GB,103.87,"55,600","2,16",Black,16.429,46
G.Skill Trident Z5 RGB 64 GB,217.99,"56,400","2,32",White / Black,10,32
Corsair Dominator Titanium 96 GB,429.99,"56,600","2,48",Black,9.697,32
TEAMGROUP Elite 16 GB,,"55,200","2,8",Black,16.154,42
Kingston FURY Beast 8 GB,23.98,"43,200","1,8",Black,10,16
Corsair Vengeance LPX 16 GB,44.99,"43,200","2,8",Black,10,16
G.Skill Trident Z Neo 32 GB,89.99,"43,600","2,16",Black / Silver,8.889,16
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"56,400","2,16",Black,12.5,40
G.Skill Ripjaws S5 32 GB,109.99,"56,000","2,16",White,10,30
G.Skill Ripjaws S5 32 GB,105.99,"55,600","2,16",Black,10,28
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"56,000","2,16",White,12.667,38
G.Skill Ripjaws S5 64 GB,197.99,"56,000","2,32",Black,10,30
Crucial CT16G48C40U5 16 GB,44,"54,800","1,16",Black,16.667,40
G.Skill Aegis 16 GB,42.68,"43,200","2,8",Red / Black,10,16
Lexar Ares RGB 32 GB,114.99,"56,400","2,16",Black / Silver,10,32
Corsair Vengeance 64 GB,247.99,"56,800","2,32",Black / Gray,9.412,32
TEAMGROUP T-Create Classic 32 GB,87.99,"56,000","2,16",Black,16,48
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"56,400","2,16",White,12.5,40
G.Skill Trident Z RGB 64 GB,139.99,"43,600","2,32",Black,10,18
G.Skill Trident Z Neo 256 GB,584.99,"43,200","8,32",Black / Silver,10,16
Kingston HyperX Fury 16 GB,,"43,200","2,8",Black / Silver,10,16
Corsair Vengeance RGB Pro 32 GB,92.99,"43,200","2,16",White,10,16
Corsair Dominator Platinum RGB 32 GB,174.99,"56,200","2,16",Black,11.613,36
G.Skill Ripjaws V 64 GB,3772.97,"43,400","4,16",Black,9.412,16
Corsair Dominator Titanium 96 GB,429.99,"56,600","2,48",White,9.697,32
Corsair Vengeance LPX 16 GB,45.99,"43,200","2,8",White,10,16
G.Skill Trident Z5 Neo 32 GB,116.99,"56,000","2,16",Black,10,30
Corsair Vengeance 16 GB,77.98,"31,600","2,8",Black / Yellow,11.25,9
G.Skill Trident Z5 RGB 64 GB,259.99,"56,800","2,32",Black,10,34
Kingston FURY Beast 16 GB,75.99,"56,000","2,8",Black / Silver,12,36
Kingston FURY 128 GB,457.99,"55,600","4,32",White,14.286,40
Corsair Vengeance 96 GB,345.99,"56,400","2,48",Black,10,32
TEAMGROUP Elite 32 GB,52.99,"43,200","2,16",Black,13.75,22
Kingston FURY Beast 16 GB,79.45,"55,600","2,8",Black / Silver,12.857,36
Patriot Viper Venom 32 GB,103.99,"56,400","2,16",Black / White,10,32
Corsair Vengeance RGB 32 GB,112.99,"56,400","2,16",Black,11.25,36
Corsair Vengeance 32 GB,97.99,"54,800","2,16",Black,16.667,40
Corsair Vengeance RGB 32 GB,109.99,"55,200","2,16",Black,15.385,40
Silicon Power XPOWER Turbine 32 GB,51.49,"43,200","2,16",Blue,10,16
Corsair Vengeance RGB Pro 16 GB,52.99,"43,600","2,8",Black,10,18
G.Skill Ripjaws V 32 GB,67.99,"43,600","2,16",Black,10,18
G.Skill Ripjaws S5 32 GB,109.99,"56,400","2,16",Black,10,32
G.Skill Ripjaws S5 64 GB,194.99,"55,600","2,32",Black,10,28
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"56,000","2,32",White / Silver,12.667,38
G.Skill Trident Z5 RGB 48 GB,399.99,"58,400","2,24",White,9.524,40
Corsair Dominator Titanium 64 GB,359.99,"56,400","4,16",White,10,32
